title,release_year,vote_count_max,vote_average_prom
Death of a President,2006,18.0,5.7
Death of a Salesman,1951,2.0,7.0
Death of a Salesman,1966,1.0,2.0
Death of a Salesman,1985,33.0,5.9
Death of a Salesman,2000,0.0,0.0
Death of a Scoundrel,1956,5.0,5.9
Death of a Shadow,2012,8.0,7.5
Death of a Superhero,2011,44.0,6.9
Death on the Nile,1978,121.0,6.7
Death to Smoochy,2002,133.0,5.9
Death's Marathon,1913,6.0,6.3
Deathgasm,2015,172.0,6.4
Deathlands,2003,2.0,3.5
Deathline,1997,9.0,4.4
Deathsport,1978,11.0,4.6
Deathstalker,1983,24.0,4.3
Deathstalker II,1987,14.0,4.0
Deathstalker IV: Match of Titans,1991,3.0,1.7
Deathstalker and the Warriors from Hell,1988,7.0,2.1
Deathtrap,1982,58.0,6.7
Deathwatch,2002,59.0,5.9
Debbie Macomber's Dashing Through the Snow,2015,4.0,6.8
Debtocracy,2011,6.0,5.9
Debug,2014,36.0,4.2
Decadence and Downfall: The Shah of Iran's Ultimate Party,2016,1.0,7.0
Decadent Evil,2005,5.0,2.4
Decameron proibitissimo (Boccaccio mio statte zitto),1972,0.0,0.0
Decampitated,1998,6.0,2.9
Decanted,2016,0.0,0.0
Decasia,2002,7.0,6.7
Decay,2015,3.0,5.7
Deceit,1992,0.0,0.0
Deceived,1991,26.0,5.4
Deceiver,1997,16.0,6.6
December 7th,1943,3.0,5.8
December Boys,2007,79.0,6.2
Deception,1946,14.0,5.9
Deception,2008,200.0,5.7
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,2012,17.0,7.1
Decision Before Dawn,1951,12.0,5.6
Decision at Sundown,1957,11.0,7.0
Deck the Halls,2006,109.0,5.1
Deck the Halls,2011,2.0,3.5
Declaration of War,2011,66.0,7.0
Decoder,1984,6.0,6.3
Decoding Annie Parker,2014,38.0,5.5
Decoding Deepak,2012,0.0,0.0
Deconstructing Harry,1997,188.0,7.3
Deconstructing Sgt. Pepper's Lonely Hearts Club Band,2017,0.0,0.0
Decoy,1946,6.0,5.4
Decoys,2004,34.0,4.7
Decoys 2: Alien Seduction,2007,13.0,5.4
Ded Moroz i seriy volk,1978,2.0,4.5
Dedh Ishqiya,2014,10.0,7.0
Dedication,2007,31.0,6.6
Deep Blood,1990,2.0,4.0
Deep Blue,2003,17.0,5.6
Deep Blue Sea,1999,616.0,5.6
Deep Blues,1992,1.0,8.0
Deep Core,2000,6.0,3.3
Deep Cover,1992,36.0,6.8
Deep Crimson,1996,9.0,6.3
Deep Dark,2015,27.0,5.0
Deep Dark Canyon,2013,16.0,5.0
Deep End,1970,38.0,6.8
Deep Evil,2004,6.0,3.3
Deep Gold,2011,2.0,5.0
Deep Hearts,1981,0.0,0.0
Deep Impact,1998,870.0,5.9
Deep Powder,2013,3.0,5.0
Deep Red,1975,237.0,7.6
Deep Rising,1998,155.0,6.0
Deep Sea 3D,2006,21.0,5.7
Deep Space,1988,4.0,3.8
Deep Water,2006,13.0,6.7
Deep Web,2015,85.0,6.8
Deep West,1971,2.0,5.0
Deep in the Darkness,2014,29.0,4.7
Deep in the Valley,2009,28.0,4.8
Deep in the Woods,2000,10.0,3.3
DeepStar Six,1989,56.0,5.0
Deepsea Challenge 3D,2014,12.0,7.0
Deepwater Horizon,2016,1478.0,6.5
Deewaar: Let's Bring Our Heroes Home,2004,0.0,0.0
Deewane,2000,1.0,3.0
Deewane Huye Paagal,2005,6.0,5.3
Deewangee,2002,6.0,5.7
Def Jam's How to Be a Player,1997,9.0,5.4
Def-Con 4,1985,10.0,2.8
Defence of the Realm,1986,10.0,6.8
Defenders of Riga,2007,3.0,6.0
Defending Your Life,1991,65.0,6.5
Defendor,2009,197.0,6.5
Defenseless,1991,3.0,5.7
Defiance,1980,3.0,6.2
Defiance,2008,580.0,6.7
Deficit,2007,5.0,5.8
"Definitely, Maybe",2008,638.0,6.7
Defying Gravity,1997,6.0,4.8
Deidra & Laney Rob a Train,2017,17.0,5.7
Deiva Thirumagal,2011,8.0,6.7
Deja Vu,1985,1.0,5.0
Delbaran,2001,2.0,6.5
Delgo,2008,15.0,5.4
Delhi Belly,2011,39.0,7.0
Delhi Dance,2012,3.0,8.0
Delhi Safari,2012,6.0,5.1
Delhi in a Day,2012,0.0,0.0
Delhi-6,2009,17.0,5.6
Deli Man,2015,6.0,6.9
Delicacy,2011,138.0,6.5
Delicatessen,1991,320.0,7.4
Delirious,1991,27.0,5.5
Delirious,2006,18.0,6.7
Delirium,1972,6.0,5.4
Delirium,2014,41.0,6.05
Delisin,1975,0.0,0.0
Delitto a Porta Romana,1980,6.0,6.6
Delitto al Blue Gay,1984,5.0,4.7
Delitto al ristorante cinese,1981,7.0,5.8
Delitto sull'autostrada,1982,7.0,6.9
Deliver Us from Eva,2003,19.0,6.1
Deliver Us from Evil,1973,1.0,10.0
Deliver Us from Evil,2006,57.0,7.5
Deliver Us from Evil,2009,17.0,6.3
Deliver Us from Evil,2014,705.0,5.9
Deliverance,1972,441.0,7.2
Deliverance Creek,2014,3.0,6.3
Delivery,2005,0.0,0.0
Delivery Man,2013,561.0,6.2
"Delphine 1, Yvan 0",1996,6.0,6.0
Delta,2008,8.0,4.1
Delta Farce,2007,42.0,4.5
Delta Force 2: The Colombian Connection,1990,48.0,5.3
Delta Force 3: The Killing Game,1991,9.0,2.5
Delta of Venus,1995,5.0,3.3
Delusion,1991,3.0,4.8
Delusions of Grandeur,1971,98.0,7.5
Dementia,1955,11.0,6.5
Dementia,2015,16.0,4.3
Dementia 13,1963,24.0,5.4
Demetri Martin. Person.,2007,9.0,6.9
Demetri Martin: Live (At The Time),2015,12.0,8.0
Demetrius and the Gladiators,1954,12.0,6.4
Demidovy,1983,1.0,10.0
Demobbed,2000,11.0,6.1
Demolition,2016,661.0,6.6
Demolition Man,1993,1018.0,6.4
Demolition University,1997,2.0,5.3
Demolition of a Wall,1896,17.0,5.8
Demon,2015,26.0,5.9
Demon Hunter,2005,7.0,5.1
Demon Hunter,2012,4.0,3.0
Demon Lover Diary,1980,1.0,5.0
Demon Seed,1977,57.0,5.9
Demon Wind,1990,4.0,4.5
Demon Witch Child,1975,0.0,0.0
Demonia,1990,8.0,4.8
Demonic,2015,153.0,5.0
Demonic Toys,1992,27.0,4.7
Demonlover,2002,13.0,5.7
Demons,1971,11.0,8.6
Demons,1985,112.0,6.5
Demons,2012,0.0,0.0
Demons 2,1986,60.0,5.8
Demons of War,1998,2.0,6.5
Demons of the Mind,1972,9.0,6.1
Demonte Colony,2015,7.0,7.6
Demoted,2011,15.0,5.1
Den enskilde medborgaren,2006,2.0,4.5
Den ofrivillige golfaren,1991,19.0,4.6
Den radio,2001,5.0,9.0
Den siste Fleksnes,1974,2.0,6.5
Denial,2016,161.0,6.5
Denis Leary: No Cure for Cancer,1993,19.0,7.1
Denise Calls Up,1995,5.0,6.6
Dennis,2007,12.0,6.1
Dennis Rodman's Big Bang in PyongYang,2015,8.0,6.6
Dennis the Menace,1993,280.0,5.5
Deon Cole: Cole-Blooded Seminar,2016,3.0,8.3
Department Store,1986,61.0,5.4
Departure,2016,14.0,7.2
Departures,2008,202.0,7.7
Depeche Mode: 101,1989,15.0,8.1
Depeche Mode: The Videos 86-98,1998,7.0,8.0
Deported Women of the SS Special Section,1975,0.0,0.0
Depth Two,2016,1.0,4.0
Der Clown - Tag der Vergeltung,2005,3.0,4.7
Der Fuehrer's Face,1943,17.0,6.2
Der Herr Karl,1961,1.0,10.0
Der Kronzeuge,2007,2.0,6.0
Der Rest ist Schweigen,1959,1.0,5.0
Der Struwwelpeter,1955,1.0,7.0
Der Teufel mit den drei goldenen Haaren,2013,1.0,5.0
Der große Bagarozy,1999,4.0,5.5
Der kleine Nazi,2010,5.0,6.0
Der letzte schöne Herbsttag,2010,3.0,7.0
Der var engang,1966,3.0,6.0
Derailed,2002,47.0,3.9
Derailed,2005,322.0,6.1
Deranged,1974,26.0,5.6
Deranged,2012,24.0,5.3
Derek,2008,1.0,5.0
Derrick contre Superman,1992,9.0,6.8
Derrida,2002,2.0,7.5
Dersu Uzala,1975,90.0,8.0
Des fleurs pour Algernon,2006,6.0,7.1
Des roses en hiver,2014,1.0,6.5
Desamuduru,2007,3.0,6.7
Descendant of the Sun,1983,2.0,4.3
Descendants,2015,505.0,6.7
Descendants 2,2017,171.0,7.5
Descendents,2008,5.0,3.8
Descent,2007,16.0,3.7
Descongelate!,2003,0.0,0.0
Deseo,2012,2.0,7.5
Deseret,1995,4.0,6.3
Desert Bloom,1986,8.0,4.9
Desert Blue,1999,9.0,5.5
Desert Dancer,2014,18.0,6.5
Desert Flower,2009,82.0,7.2
Desert Fury,1947,3.0,4.2
Desert Hearts,1985,21.0,6.7
Desert Saints,2002,13.0,5.2
Desert Victory,1943,1.0,5.0
Desert Winds,1997,0.0,0.0
Deserter,1933,1.0,5.0
Deserter,2002,6.0,5.3
Desi Boyz,2011,30.0,6.0
Desierto,2015,107.0,5.7
Design Is One,2012,3.0,6.2
Design for Living,1933,44.0,7.1
Design for Scandal,1941,1.0,3.0
Design of Death,2012,6.0,7.0
Designing Woman,1957,10.0,5.1
Desirable,1934,1.0,6.0
Desirable Teacher,1981,18.0,5.3
Desire,1936,9.0,5.2
Desire,2011,142.0,4.1
Desire Under the Elms,1958,3.0,4.0
Desire: The Vampire,1982,1.0,4.0
Desires,1977,2.0,7.0
Desk Set,1957,28.0,6.9
Desmundo,2002,1.0,9.0
Desolate,2013,0.0,0.0
Desolation Canyon,2006,2.0,6.0
Despair,1978,12.0,7.0
Desperado,1995,898.0,6.8
Desperado's Duel,2014,2.0,4.3
Desperate,1947,6.0,6.3
Desperate Hours,1990,37.0,5.3
Desperate Journey,1942,2.0,7.0
Desperate Living,1977,29.0,6.7
Desperate Measures,1998,60.0,5.9
Desperate Search,1952,4.0,5.3
Desperately Seeking Susan,1985,99.0,6.0
Desperation,2006,45.0,5.2
Despicable Me,2010,6595.0,7.1
Despicable Me 2,2013,4729.0,7.0
Despicable Me 3,2017,2002.0,6.2
Despiser,2003,1.0,5.0
Despite the Falling Snow,2016,16.0,4.7
Destination Gobi,1953,3.0,5.7
Destination Moon,1950,17.0,6.1
Destination Tokyo,1943,14.0,6.4
Destined for Blues,2005,7.0,7.9
Destino,2003,37.0,7.0
Destiny,1921,25.0,7.4
Destiny,1944,3.0,3.2
Destiny,1997,9.0,6.9
Destiny,2006,8.0,7.7
Destiny Turns on the Radio,1995,9.0,5.3
Destiny in Space,1994,2.0,7.0
Destricted,2006,12.0,4.8
Destroy All Monsters,1968,33.0,6.4
Destroy Yourselves,1969,2.0,8.0
Destroyer,1943,4.0,7.4
Destroyer,1988,3.0,5.0
Destruction Force,1977,2.0,7.5
Destry,1954,10.0,4.7
Destry Rides Again,1939,39.0,6.9
Detachment,2011,343.0,7.3
Details,2003,0.0,0.0
Detective,1985,7.0,6.8
"Detective Bureau 2-3: Go to Hell, Bastards!",1963,3.0,7.3
Detective Byomkesh Bakshy!,2015,21.0,6.4
Detective Chinatown,2015,10.0,7.2
Detective Conan: The Fourteenth Target,1998,30.0,7.5
Detective Conan: The Last Wizard of the Century,1999,31.0,7.2
Detective Dee and the Mystery of the Phantom Flame,2010,101.0,6.5
Detective K: Secret of the Lost Island,2015,6.0,7.5
Detective K: Secret of the Virtuous Widow,2011,11.0,7.3
Detective Story,1951,23.0,6.5
Detention,2003,9.0,5.6
Detention,2011,130.0,5.7
Detention of the Dead,2012,34.0,4.5
Deterrence,2000,7.0,6.1
Detour,1945,64.0,7.3
Detour,1998,0.0,0.0
Detour,2009,9.0,5.4
Detour,2013,9.0,5.7
Detour,2017,38.0,5.9
Detroit,2017,67.0,7.3
Detroit 9000,1973,10.0,6.0
Detroit Metal City,2008,16.0,6.1
Detroit Rock City,1999,102.0,6.7
Detropia,2012,13.0,6.8
Deuce Bigalow: European Gigolo,2005,232.0,4.6
Deuce Bigalow: Male Gigolo,1999,314.0,5.4
Deuce of Spades,2010,2.0,5.3
Deuces Wild,2002,34.0,5.5
Deux fois,1968,1.0,5.0
Dev.D,2009,24.0,7.3
Devasuram,1993,8.0,6.4
Devdas,1955,4.0,4.1
Devdas,2002,78.0,7.4
Devil,2010,836.0,5.8
Devil Dog: The Hound of Hell,1978,4.0,5.6
Devil Dogs of the Air,1935,2.0,8.0
Devil Doll,1964,10.0,4.0
Devil Girl from Mars,1954,8.0,4.0
Devil Hunter,1980,8.0,3.8
Devil In The Flesh 2,2000,4.0,3.5
Devil May Hare,1954,7.0,6.1
Devil Seed,2012,23.0,4.6
Devil Times Five,1974,10.0,4.6
Devil in a Blue Dress,1995,88.0,6.3
Devil in the Flesh,1947,7.0,5.3
Devil in the Flesh,1998,8.0,5.0
Devil of the Desert Against the Son of Hercules,1964,1.0,3.0
Devil's Angels,1967,3.0,6.7
Devil's Bible,2008,2.0,4.5
Devil's Bride,2016,8.0,6.6
Devil's Den,2006,6.0,4.8
Devil's Diary,2007,9.0,4.0
Devil's Domain,1990,0.0,0.0
Devil's Doorway,1950,9.0,5.9
Devil's Due,2014,218.0,4.4
Devil's Gate,2017,2.0,7.0
Devil's Island,1996,1.0,5.0
Devil's Knot,2013,205.0,5.7
Devil's Playground,2002,14.0,6.7
Devil's Playground,2010,36.0,5.2
Devil's Pond,2003,9.0,5.2
Devilfish,1984,15.0,3.6
Devils on the Doorstep,2000,37.0,7.7
Devo: Hardcore Live!,2015,1.0,4.5
Devo: The Complete Truth About De-Evolution,1993,0.0,0.0
Devolved,2010,1.0,1.5
Devotion,2003,2.0,5.5
Devoured,2012,13.0,6.4
Dexter the Dragon & Bumble the Bear,1983,8.0,7.3
Dexter's Laboratory: Ego Trip,1999,9.0,7.4
Dhadakebaaz,1990,0.0,0.0
Dhadkan,2000,7.0,7.4
Dhamaal,2007,18.0,6.1
Dhanak,2015,7.0,7.9
Dheena,2001,5.0,5.3
Dheepan,2015,135.0,6.8
Dhobi Ghat,2011,18.0,6.7
Dhol,2007,7.0,5.9
Dhoom,2004,53.0,6.2
Dhoom 2,2006,69.0,5.9
Dhoom 3,2013,86.0,6.0
Dhoondte Reh Jaoge,2009,2.0,4.3
Dhund: The Fog,2003,0.0,0.0
Diablo,2016,76.0,4.3
Diabolical Pickpocket,1908,2.0,6.5
Diabolically Yours,1967,4.0,7.1
Diabolique,1955,198.0,7.9
Diabolique,1996,74.0,5.4
Dial 1119,1950,3.0,3.0
Dial H-I-S-T-O-R-Y,1997,0.0,0.0
Dial M for Murder,1954,539.0,7.9
Dial a Prayer,2015,15.0,5.6
Dialogues,2014,1.0,8.0
Diamond Cartel,2017,5.0,7.2
Diamond Dogs,2007,12.0,4.1
Diamond Girl,1998,4.0,3.3
Diamond Men,2000,7.0,6.7
Diamonds,1999,7.0,5.4
Diamonds Are Forever,1971,562.0,6.3
Diana,2013,180.0,5.3
Diana Vreeland: The Eye Has to Travel,2012,14.0,7.0
Diane,1975,0.0,0.0
Diaries Notes and Sketches,1969,3.0,9.0
Diario de un skin,2005,7.0,6.7
Diary Of A Telephone Operator,1969,0.0,0.0
Diary of June,2005,10.0,6.2
Diary of a Cannibal,2007,4.0,1.0
Diary of a Chambermaid,1964,33.0,7.2
Diary of a Chambermaid,2015,41.0,5.2
Diary of a Country Priest,1951,41.0,7.7
Diary of a Hitman,1991,4.0,3.5
Diary of a Lost Girl,1929,20.0,7.4
Diary of a Lover,1977,1.0,5.0
Diary of a Mad Black Woman,2005,71.0,6.4
Diary of a Mad Housewife,1970,4.0,7.0
Diary of a Madman,1963,9.0,5.4
Diary of a Nymphomaniac,2008,70.0,5.5
Diary of a Shinjuku Thief,1969,8.0,5.4
Diary of a Wimpy Kid,2010,369.0,5.9
Diary of a Wimpy Kid: Dog Days,2012,229.0,6.0
Diary of a Wimpy Kid: Rodrick Rules,2011,250.0,6.3
Diary of a Wimpy Kid: The Long Haul,2017,48.0,6.1
Diary of the Dead,2007,194.0,5.4
Dibu 2: La venganza de Nasty,1998,0.0,0.0
Dibu 3,2002,0.0,0.0
Dibu: La Película,1997,0.0,0.0
Dick,1999,67.0,5.7
Dick Figures: The Movie,2013,7.0,6.2
Dick Tracy,1990,258.0,5.9
Dick Tracy Meets Gruesome,1947,4.0,5.9
Dick Tracy vs. Cueball,1946,4.0,5.1
Dickie Roberts: Former Child Star,2003,65.0,5.1
Dickson Experimental Sound Film,1894,18.0,6.7
Dickson Greeting,1891,13.0,4.8
Did You Hear About the Morgans?,2009,281.0,5.1
"Didi, the Goofy Cupid",2003,4.0,2.5
Didier,1997,76.0,5.7
Die,2010,25.0,4.5
Die Abrafaxe - Unter schwarzer Flagge,2001,6.0,5.8
Die Akte Golgatha,2010,1.0,0.0
Die Another Day,2002,1112.0,5.8
"Die Bademeister – Weiber, saufen, Leben retten",1999,3.0,2.8
Die Beautiful,2016,2.0,7.5
Die Blindgänger,2004,0.0,0.0
Die Fighting,2014,6.0,4.2
Die Fischerin,2014,1.0,5.0
Die Frau des Frisörs,2008,1.0,8.0
"Die Frau, die im Wald verschwand",2009,0.0,0.0
Die Geschichte vom Brandner Kaspar,2008,7.0,6.1
Die Hard,1988,4005.0,7.5
Die Hard 2,1990,1920.0,6.6
Die Hard: With a Vengeance,1995,2094.0,6.9
Die Konferenz der Tiere,1969,3.0,7.7
Die Mondverschwörung,2011,7.0,7.6
Die Nibelungen: Kriemhild's Revenge,1924,14.0,7.5
Die Nibelungen: Siegfried,1924,19.0,7.7
Die Reise,1986,1.0,5.0
Die Salzprinzessin,2015,1.0,6.0
Die Schöne und das Biest,2012,8.0,5.0
Die Tigerin,1992,0.0,0.0
Die Totale Therapie,1996,0.0,0.0
Die Weihnachtsklempner,1986,0.0,0.0
Die Welt,2013,0.0,0.0
Die Wolke,2006,25.0,6.1
Die goldene Gans,2013,0.0,0.0
Die letzte Rache,1982,2.0,8.3
Die weisse Rose,1982,2.0,6.8
Die zwölf Geschworenen,1963,1.0,9.0
Die! Die! My Darling!,1965,11.0,5.2
"Die, Mommie, Die!",2003,17.0,6.6
"Die, Monster, Die!",1965,16.0,6.5
Diebinnen,1996,1.0,4.0
Diet of Sex,2014,12.0,4.0
Dieter - The Movie,2006,7.0,2.7
Different for Girls,1996,5.0,5.2
Different from the Others,1919,7.0,7.0
Difret,2014,17.0,5.4
Dig That Uranium,1955,0.0,0.0
Dig Two Graves,2014,17.0,5.3
Dig Your Grave Friend... Sabata's Coming,1971,0.0,0.0
Dig!,2004,20.0,7.2
"Digby, the Biggest Dog in the World",1973,6.0,4.0
Diggers,2006,10.0,5.5
Diggers,2016,4.0,3.5
Digging Up the Marrow,2015,62.0,5.6
Digging for Fire,2015,51.0,5.2
Digging to China,1997,10.0,6.5
Diggstown,1992,31.0,6.5
Digimon: The Movie,2000,76.0,6.2
Dikkenek,2006,165.0,6.8
Dil,1990,6.0,6.9
Dil Bole Hadippa!,2009,17.0,4.7
Dil Chahta Hai,2001,71.0,7.1
Dil Dhadakne Do,2015,43.0,6.7
Dil Dosti Etc,2007,2.0,6.5
Dil Kya Kare,1999,1.0,5.0
Dil Ne Jise Apna Kahaa,2004,4.0,4.1
Dil Se..,1998,29.0,6.7
Dil To Pagal Hai,1997,41.0,6.6
Dillinger,1945,9.0,4.9
Dillinger,1973,23.0,6.7
Dillinger Is Dead,1969,13.0,6.5
Dillinger and Capone,1995,5.0,5.3
Dilwale,2015,68.0,6.3
Dilwale Dulhania Le Jayenge,1995,661.0,9.1
Dim Sum Funeral,2008,4.0,5.0
Dim Sum: A Little Bit of Heart,1985,2.0,2.5
Dimensions,2011,7.0,4.8
Dimensions of Dialogue,1983,23.0,7.5
Diminished Capacity,2008,3.0,6.2
Dimples,1936,8.0,6.4
Dina,2017,2.0,0.0
Diner,1982,84.0,6.9
Dingo,1991,1.0,6.0
Dinner Rush,2000,19.0,7.1
Dinner at Eight,1933,19.0,6.5
Dinner for One,1963,33.0,6.8
Dinner for Schmucks,2010,542.0,5.5
Dinner with Friends,2001,13.0,5.2
Dino Time,2012,12.0,4.5
Dinocroc,2004,12.0,4.0
Dinosaur,2000,563.0,6.2
Dinosaur 13,2014,35.0,7.0
Dinosaur Island,1994,7.0,4.9
Dinosaur Island,2014,25.0,4.4
Dinosaurier - Gegen uns seht ihr alt aus!,2009,1.0,6.5
Dinosaurs!  A Fun-Filled Trip Back In Time,1987,1.0,10.0
Dinosaurus!,1960,10.0,5.0
Dinoshark,2010,13.0,4.4
Dinotasia,2012,4.0,4.8
Dinotopia,2002,71.0,5.8
Dinotopia: Quest for the Ruby Sunstone,2005,5.0,6.0
Dionysus in '69,1972,3.0,5.7
Dior and I,2015,50.0,7.3
Diplomacy,2014,73.0,7.2
Diplomatic Courier,1952,2.0,6.5
Diplomatic Siege,1999,3.0,4.7
Dirch Passer vælter byen,1954,0.0,0.0
Direct Action,2004,11.0,4.1
Direct Contact,2009,15.0,4.4
Direct from Brooklyn,1999,0.0,0.0
Directed by Andrei Tarkovsky,1988,2.0,7.0
Directed by John Ford,1971,9.0,6.8
Directed by Sidney Lumet: How the Devil Was Made,2008,0.0,0.0
Dirigible,1931,1.0,0.0
Dirkie - Lost in the Desert,1969,6.0,5.8
Dirt,2001,1.0,6.0
Dirt! The Movie,2009,3.0,6.7
Dirty,2005,34.0,5.1
Dirty 30,2016,19.0,6.2
Dirty Business,2009,0.0,0.0
Dirty Dancing,1987,1371.0,7.1
Dirty Dancing,2017,58.0,5.3
Dirty Dancing: Havana Nights,2004,154.0,6.0
Dirty Deeds,2002,9.0,6.3
Dirty Deeds,2005,32.0,5.8
Dirty Dingus Magee,1970,4.0,5.8
Dirty Filthy Love,2005,3.0,5.7
Dirty Gertie from Harlem U.S.A.,1946,1.0,5.0
Dirty Girl,2010,71.0,6.4
Dirty Grandpa,2016,1429.0,5.7
Dirty Hands,1975,9.0,5.9
Dirty Hands,1989,2.0,4.0
Dirty Harry,1971,630.0,7.4
Dirty Ho,1979,10.0,6.9
Dirty Lies,2016,3.0,6.7
Dirty Linen,1999,0.0,0.0
Dirty Love,2005,26.0,4.9
Dirty Mary Crazy Larry,1974,33.0,6.7
Dirty Mind,2009,6.0,5.6
Dirty Movie,2011,15.0,3.4
Dirty O'Neil,1974,2.0,5.5
Dirty Pictures,2000,2.0,7.5
Dirty Pretty Things,2002,135.0,6.8
Dirty Rotten Scoundrels,1988,223.0,7.0
Dirty Sanchez: The Movie,2006,17.0,5.6
Dirty Wars,2013,58.0,7.1
Dirty Weekend,1973,0.0,0.0
Dirty Weekend,2015,30.0,5.2
Dirty Work,1998,66.0,6.5
Disappearing Acts,2000,9.0,5.3
Disaster L.A.: The Last Zombie Apocalypse Begins Here,2014,13.0,3.6
Disaster Movie,2008,250.0,3.1
Disaster!,2006,11.0,4.6
Dischord,2001,0.0,0.0
Disciples of the 36th Chamber,1985,14.0,6.4
Disclosure,1994,217.0,5.9
Disco Dancer,1982,6.0,5.5
Disco Godfather,1979,7.0,4.4
Disco Pigs,2001,19.0,5.8
Disco Polo,2015,4.0,5.1
Disco and Atomic War,2009,2.0,5.3
Disconnect,2012,459.0,6.9
Disengagement,2007,2.0,7.5
Disfigured,2008,1.0,4.0
Disgrace,2008,25.0,6.0
Dishonored,1931,12.0,6.8
Dishonored Lady,1947,5.0,4.6
Dishoom,2016,22.0,5.5
Disney Sing-Along-Songs: Under the Sea,1990,3.0,8.0
Disney's American Legends,2001,2.0,6.3
Disney's Very Merry Christmas Sing Along Songs,2002,6.0,7.1
Disneyland Dream,1956,3.0,7.0
Disorder,2009,2.0,7.5
Disorder,2015,62.0,5.6
Disorderlies,1987,12.0,4.4
Disorganized Crime,1989,10.0,4.7
Disraeli,1929,3.0,4.3
Distance,2001,9.0,7.8
Distant,2002,37.0,6.7
Distant Drums,1951,14.0,5.6
Distant Thunder,1973,6.0,4.7
Distant Thunder,1988,3.0,7.5
"Distant Voices, Still Lives",1988,24.0,6.8
Distracted,1970,18.0,5.8
Distractions,2015,6.0,6.1
District 13: Ultimatum,2009,323.0,6.0
District 9,2009,3451.0,7.3
District B13,2004,572.0,6.5
Disturbia,2007,1038.0,6.6
Disturbing Behavior,1998,104.0,5.5
Disturbing the Peace,2016,1.0,8.0
Ditirambo,1969,1.0,5.0
Ditto,2000,11.0,6.4
Diva,1981,37.0,6.7
Dive!,2010,3.0,6.2
Divergence,2005,11.0,6.8
Divergent,2014,4784.0,6.9
"Divers at Work on the Wreck of the ""Maine""",1898,5.0,5.6
Diversant,2004,5.0,4.4
Diverted,2009,1.0,5.0
Divided We Fall,2000,11.0,7.6
Divina Confusión,2008,2.0,4.3
Divine Access,2015,2.0,6.0
Divine Horsemen: The Living Gods of Haiti,1985,2.0,4.8
Divine Madness,1980,3.0,8.0
Divine Secrets of the Ya-Ya Sisterhood,2002,65.0,5.6
Divine Trash,1998,13.0,7.4
Divines,2016,161.0,8.1
Diving In,1990,0.0,0.0
Diving Into the Unknown,2016,7.0,7.0
Division III: Football's Finest,2011,16.0,4.6
Divorce,1945,1.0,4.0
Divorce American Style,1967,7.0,5.4
Divorce Corp.,2014,5.0,7.9
Divorce Iranian Style,1998,4.0,7.8
Divorce Italian Style,1961,53.0,7.9
Divorcing Jack,1998,5.0,6.7
Dixie Chicks: Shut Up and Sing,2006,12.0,6.5
Diên Biên Phu,1992,4.0,5.4
Django,1966,156.0,7.1
Django,2017,30.0,6.5
Django Kills Softly,1967,2.0,5.0
Django Shoots First,1966,2.0,5.5
Django Strikes Again,1987,4.0,4.6
Django Unchained,2012,10297.0,7.8
Django and Sartana Are Coming... It's the End,1970,1.0,5.0
Django the Bastard,1969,7.0,4.4
Django's Cut Price Corpses,1971,1.0,5.0
"Django, Kill! (If You Live Shoot!)",1967,12.0,4.9
"Django, Prepare a Coffin",1968,22.0,6.0
Djinn,2013,20.0,4.3
Djomeh,2000,3.0,4.3
Do Detectives Think?,1927,1.0,6.0
Do Dooni Chaar,2010,4.0,4.0
Do Fish Do It?,2002,3.0,4.5
Do I Have to Take Care of Everything?,2014,4.0,6.0
Do I Sound Gay?,2014,20.0,6.2
Do Not Disturb,1965,8.0,5.9
Do Not Disturb,1999,9.0,5.0
Do Not Disturb,2012,9.0,4.3
Do Not Disturb,2014,113.0,5.3
Do Not Leave...,1989,0.0,0.0
Do Not Resist,2016,8.0,6.6
Do We Really Need the Moon?,2011,1.0,7.0
Do You Believe in Miracles? The Story of the 1980 U.S. Hockey Team,2002,2.0,9.5
Do You Believe?,2015,49.0,6.7
Do You Like Hitchcock?,2005,11.0,5.4
Do You Remember Dolly Bell?,1981,15.0,7.3
Do You See Me?,2014,126.0,6.1
Do You Take This Man,2017,0.0,0.0
Do You Wanna Know a Secret?,2001,2.0,4.0
Do the Right Thing,1989,301.0,7.6
Dobbiamo parlare,2015,17.0,5.6
Dobermann,1997,110.0,6.4
Doc,1971,9.0,6.9
Doc Hollywood,1991,154.0,5.9
Doc Martin,2001,9.0,5.6
Doc Martin and the Legend of the Cloutie,2003,7.0,4.6
Doc Savage: The Man of Bronze,1975,10.0,5.3
Doc of the Dead,2014,14.0,7.0
Dock Ellis & The LSD No-No,2010,1.0,9.0
Docking the Boat,1965,8.0,6.0
Doctor Aybolit,1984,3.0,3.0
Doctor Bull,1933,2.0,5.0
Doctor Detroit,1983,20.0,4.7
Doctor Dolittle,1967,42.0,6.0
Doctor Dolittle,1998,705.0,5.4
Doctor Mordrid,1992,9.0,6.1
Doctor Strange,2007,74.0,6.6
Doctor Strange,2016,5880.0,7.1
Doctor Vlimmen,1977,0.0,0.0
Doctor Who,1996,64.0,6.0
Doctor Who: A Christmas Carol,2010,37.0,7.9
Doctor Who: Last Christmas,2014,86.0,7.9
Doctor Who: Planet of the Dead,2009,51.0,7.3
