title,release_date,budget,revenue,return,directores
Teenage Mutant Ninja Turtles,1990-03-30,13500000.0,202000000.0,14.962962962962964,Steve Barron
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991-03-22,25000000.0,78000000.0,3.12,Michael Pressman
Teenage Mutant Ninja Turtles III,1993-03-17,21000000.0,42000000.0,2.0,Stuart Gillard
Red Dawn,1984-08-10,4200000.0,38376497.0,9.13726119047619,John Milius
Band of the Hand,1986-04-11,8700000.0,4865912.0,0.5593002298850575,Paul Michael Glaser
Born American,1986-08-30,0.0,0.0,0.0,Renny Harlin
Bloodsport,1988-02-26,1500000.0,11806119.0,7.870746,Newt Arnold
Eyes of Laura Mars,1978-08-02,7000000.0,20000000.0,2.857142857142857,Irvin Kershner
Funny Bones,1995-09-20,0.0,0.0,0.0,Peter Chelsom
The Good Earth,1937-08-06,0.0,0.0,0.0,Sidney Franklin
"Good Morning, Vietnam",1987-12-23,13000000.0,123922370.0,9.53249,Barry Levinson
The Good Mother,1988-11-04,0.0,0.0,0.0,Leonard Nimoy
Grumpy Old Men,1993-12-25,0.0,0.0,0.0,Donald Petrie
Guess Who's Coming to Dinner,1967-12-11,4000000.0,56666667.0,14.16666675,Stanley Kramer
Romeo Must Die,2000-03-20,25000000.0,91036760.0,3.6414704,Andrzej Bartkowiak
Here On Earth,2000-03-23,0.0,0.0,0.0,Mark Piznarski
Whatever It Takes,2000-03-31,15000000.0,9902115.0,0.660141,David Raynr
Buddy Boy,1999-09-05,0.0,0.0,0.0,Mark Hanlon
The Color of Paradise,1999-02-08,0.0,0.0,0.0,Majid Majidi
Waking the Dead,2000-03-23,8500000.0,327418.0,0.0385197647058823,Keith Gordon
Blood and Sand,1989-09-22,0.0,0.0,0.0,Javier Elorrieta
Gothic,1986-11-30,0.0,0.0,0.0,Ken Russell
Hillbillys in a Haunted House,1967-05-01,0.0,0.0,0.0,Jean Yarbrough
Lord of the Flies,1963-08-13,250000.0,0.0,0.0,Peter Brook
Modern Times,1936-02-05,1.0,8500000.0,8500000.0,Charlie Chaplin
National Lampoon's Last Resort,1994-04-29,0.0,0.0,0.0,Rafal Zielinski
Solar Crisis,1990-07-14,55000000.0,0.0,0.0,Richard C. Sarafian
That's Life!,1986-10-10,0.0,0.0,0.0,Blake Edwards
Heart and Souls,1993-08-13,0.0,16589540.0,0.0,Ron Underwood
Hud,1963-05-29,2500000.0,10000000.0,4.0,Martin Ritt
The Hustler,1961-09-25,2000000.0,7600000.0,3.8,Robert Rossen
Inherit the Wind,1960-06-24,0.0,0.0,0.0,Stanley Kramer
Dersu Uzala,1975-08-02,4000000.0,0.0,0.0,Akira Kurosawa
Close Encounters of the Third Kind,1977-11-16,20000000.0,303788635.0,15.18943175,Steven Spielberg
The City of the Dead,1960-09-09,0.0,0.0,0.0,John Llewellyn Moxey
Jonah Who Will Be 25 in the Year 2000,1976-01-01,0.0,0.0,0.0,Alain Tanner
Retroactive,1997-01-01,0.0,0.0,0.0,Louis Morneau
A Place in the Sun,1951-06-12,0.0,0.0,0.0,George Stevens
Jacob's Ladder,1990-11-02,25000000.0,25965144.0,1.03860576,Adrian Lyne
Empire Records,1995-09-22,0.0,0.0,0.0,Allan Moyle
La Bamba,1987-07-24,6500000.0,54215416.0,8.340833230769231,Luis Valdez
Ladyhawke,1985-03-27,20000000.0,18432000.0,0.9216,Richard Donner
Lucas,1986-03-28,6000000.0,8200000.0,1.3666666666666667,David Seltzer
High Fidelity,2000-03-17,30000000.0,47126295.0,1.5708765,Stephen Frears
The Road to El Dorado,2000-03-31,95000000.0,76432727.0,0.8045550210526315,Bibo Bergeron
The Road to El Dorado,2000-03-31,95000000.0,76432727.0,0.8045550210526315,Don Michael Paul
The Skulls,2000-03-31,15000000.0,35007180.0,2.333812,Rob Cohen
Autopsy,1975-01-18,0.0,0.0,0.0,Armando Crispino
Devil Girl from Mars,1954-05-01,0.0,0.0,0.0,David MacDonald
El Dorado,1966-12-17,4653000.0,6000000.0,1.2894906511927788,Howard Hawks
The Hideous Sun Demon,1958-08-28,0.0,0.0,0.0,Robert Clarke
The Hideous Sun Demon,1958-08-28,0.0,0.0,0.0,Tom Boutross
Hook,1991-12-11,70000000.0,300854823.0,4.297926042857143,Steven Spielberg
Horror Express,1972-09-30,300000.0,0.0,0.0,Eugenio Martín
My Chauffeur,1986-01-24,0.0,0.0,0.0,David Beaird
The Son of the Sheik,1926-09-05,0.0,0.0,0.0,George Fitzmaurice
Torso,1973-01-04,0.0,0.0,0.0,Sergio Martino
True Grit,1969-06-11,0.0,14250000.0,0.0,Henry Hathaway
Roadside Prophets,1992-03-27,0.0,157645.0,0.0,Abbe Wool
Madame Sousatzka,1988-10-14,0.0,0.0,0.0,John Schlesinger
Max Dugan Returns,1983-03-25,0.0,0.0,0.0,Herbert Ross
Midnight Express,1978-09-12,2300000.0,35000000.0,15.217391304347826,Alan Parker
Misery,1990-11-28,20000000.0,61276872.0,3.0638436,Rob Reiner
Mr. Saturday Night,1992-09-23,43000000.0,13300000.0,0.3093023255813953,Billy Crystal
Murphy's Romance,1985-12-25,13000000.0,30867525.0,2.374425,Martin Ritt
My Life,1993-11-12,0.0,27484464.0,0.0,Bruce Joel Rubin
Solaris,1972-03-20,0.0,0.0,0.0,Andrei Tarkovsky
Network,1976-11-01,3800000.0,23689877.0,6.234178157894737,Sidney Lumet
No Way Out,1987-08-14,15000000.0,35509515.0,2.367301,Roger Donaldson
North Dallas Forty,1979-08-03,0.0,26079312.0,0.0,Ted Kotcheff
The Odd Couple,1968-02-07,0.0,44527234.0,0.0,Gene Saks
The Outlaw Josey Wales,1976-06-30,3700000.0,31800000.0,8.594594594594595,Clint Eastwood
Black and White,1999-09-04,10000000.0,5241315.0,0.5241315,James Toback
Frequency,2000-04-28,31000000.0,68106245.0,2.1969756451612903,Gregory Hoblit
Ready to Rumble,2000-04-07,24000000.0,12372410.0,0.5155170833333333,Brian Robbins
Return to Me,2000-04-07,24000000.0,36609995.0,1.5254164583333334,Bonnie Hunt
Rules of Engagement,2000-04-07,60000000.0,71000000.0,1.1833333333333331,William Friedkin
Joe Gould's Secret,2000-01-21,0.0,0.0,0.0,Stanley Tucci
Me Myself I,2000-04-20,0.0,369975.0,0.0,Pip Karmel
"Bell, Book and Candle",1958-12-25,0.0,0.0,0.0,Richard Quine
The Bells,1926-07-29,0.0,0.0,0.0,James Young
The End of Violence,1997-09-12,5000000.0,0.0,0.0,Wim Wenders
Force 10 from Navarone,1978-11-01,5000000.0,7230000.0,1.446,Guy Hamilton
How to Stuff a Wild Bikini,1965-07-14,0.0,0.0,0.0,William Asher
Mystery Train,1989-09-06,2800000.0,0.0,0.0,Jim Jarmusch
Sacco & Vanzetti,1971-03-16,0.0,0.0,0.0,Giuliano Montaldo
Taffin,1988-02-26,0.0,0.0,0.0,Francis Megahy
Arthur,1981-07-17,7000000.0,95461682.0,13.637383142857145,Steve Gordon
Bachelor Party,1984-06-29,6000000.0,38435947.0,6.4059911666666665,Neal Israel
Parenthood,1989-07-31,0.0,126297830.0,0.0,Ron Howard
Predator,1987-06-11,18000000.0,98235548.0,5.457530444444444,John McTiernan
The Prince of Tides,1991-12-25,30000000.0,74787599.0,2.492919966666667,Barbra Streisand
The Postman Always Rings Twice,1981-03-20,12000000.0,0.0,0.0,Bob Rafelson
Smoking / No Smoking,1993-12-15,0.0,0.0,0.0,Alain Resnais
All the Vermeers in New York,1990-09-11,0.0,0.0,0.0,Jon Jost
An Actor's Revenge,1963-01-13,0.0,0.0,0.0,Kon Ichikawa
28 Days,2000-04-06,43000000.0,0.0,0.0,Betty Thomas
American Psycho,2000-04-13,7000000.0,34266564.0,4.895223428571429,Mary Harron
Keeping the Faith,2000-04-14,30000000.0,37036004.0,1.2345334666666667,Edward Norton
Where the Money is,2000-04-14,0.0,0.0,0.0,Marek Kanievska
East Is East,1999-05-14,3800000.0,28200000.0,7.421052631578948,Damien O'Donnell
The Filth and the Fury,2000-03-29,0.0,0.0,0.0,Julien Temple
Passion of Mind,2000-01-07,0.0,0.0,0.0,Alain Berliner
Third World Cop,1999-09-14,0.0,40717.0,0.0,Chris Browne
Coming Apart,1969-10-26,0.0,0.0,0.0,Milton Moses Ginsberg
Diner,1982-04-02,0.0,0.0,0.0,Barry Levinson
Shakes the Clown,1991-03-13,1400000.0,0.0,0.0,Bobcat Goldthwait
Cabaret,1972-02-13,6000000.0,0.0,0.0,Bob Fosse
What Ever Happened to Baby Jane?,1962-10-31,980000.0,0.0,0.0,Robert Aldrich
Prick Up Your Ears,1987-04-17,0.0,0.0,0.0,Stephen Frears
Auntie Mame,1958-12-27,0.0,0.0,0.0,Morton DaCosta
Guys and Dolls,1955-11-03,5500000.0,0.0,0.0,Joseph L. Mankiewicz
The Hunger,1983-04-29,0.0,5979292.0,0.0,Tony Scott
Marathon Man,1976-10-05,6500000.0,21709020.0,3.339849230769231,John Schlesinger
Caddyshack,1980-07-25,6000000.0,39846344.0,6.641057333333333,Harold Ramis
Gossip,2000-04-21,14000000.0,5108820.0,0.3649157142857143,Davis Guggenheim
Love & Basketball,2000-04-21,20000000.0,27728118.0,1.3864059,Gina Prince-Bythewood
U-571,2000-04-20,62000000.0,127666415.0,2.059135725806452,Jonathan Mostow
The Virgin Suicides,1999-04-21,6000000.0,10409377.0,1.734896166666667,Sofia Coppola
Jennifer Eight,1992-11-06,20000000.0,11390479.0,0.56952395,Bruce Robinson
The Law,1959-01-25,0.0,0.0,0.0,Jules Dassin
Limelight,1952-10-31,0.0,0.0,0.0,Charlie Chaplin
Empire of Passion,1978-01-01,0.0,0.0,0.0,Nagisa Ōshima
Stacy's Knights,1983-06-01,0.0,0.0,0.0,Jim Wilson
Committed,2000-01-21,3000000.0,0.0,0.0,Lisa Krueger
The Crow: Salvation,2000-10-31,10000000.0,0.0,0.0,Bharat Nalluri
The Flintstones in Viva Rock Vegas,2000-04-28,83000000.0,59468275.0,0.7164852409638555,Brian Levant
Where the Heart Is,2000-04-27,15000000.0,33771174.0,2.2514116,Matt Williams
The Big Kahuna,2000-04-28,7000000.0,3728888.0,0.5326982857142857,John Swanbeck
Bossa Nova,2000-01-01,0.0,0.0,0.0,Bruno Barreto
Smiling Fish & Goat On Fire,1999-09-16,0.0,0.0,0.0,Kevin Jordan
The Idiots,1998-04-28,2500000.0,7235.0,0.002894,Lars von Trier
The Last September,2000-04-28,0.0,0.0,0.0,Deborah Warner
Timecode,2000-03-22,4000000.0,0.0,0.0,Mike Figgis
Carnosaur,1993-05-21,1000000.0,1753979.0,1.753979,Adam Simon
Carnosaur,1993-05-21,1000000.0,1753979.0,1.753979,Darren Moloney
Carnosaur 2,1995-02-23,0.0,0.0,0.0,Louis Morneau
Carnosaur 3: Primal Species,1996-11-21,0.0,0.0,0.0,Jonathan Winfrey
Defying Gravity,1997-07-09,0.0,0.0,0.0,John Keitel
The Hidden,1987-10-30,0.0,0.0,0.0,Jack Sholder
Two Moon Junction,1988-04-29,0.0,1547397.0,0.0,Zalman King
Gladiator,2000-05-01,103000000.0,457640427.0,4.443110941747573,Ridley Scott
I Dreamed of Africa,2000-05-05,34000000.0,0.0,0.0,Hugh Hudson
Up at the Villa,2000-04-14,0.0,0.0,0.0,Philip Haas
Human Traffic,1999-06-04,600000.0,4000000.0,6.666666666666667,Justin Kerrigan
Black Tights,1962-02-20,0.0,0.0,0.0,Terence Young
Breathless,1983-05-13,0.0,19910002.0,0.0,Jim McBride
The Great Locomotive Chase,1956-06-08,0.0,0.0,0.0,Francis D. Lyon
The Idolmaker,1980-11-14,0.0,0.0,0.0,Taylor Hackford
Inferno,1980-02-07,3000000.0,0.0,0.0,Dario Argento
The King of Marvin Gardens,1972-10-12,0.0,0.0,0.0,Bob Rafelson
"The Nibelungs, Tale 1: Siegfried",1966-12-13,0.0,0.0,0.0,Harald Reinl
The Lords of Flatbush,1974-05-01,160000.0,4000000.0,25.0,Stephen Verona
The Lords of Flatbush,1974-05-01,160000.0,4000000.0,25.0,Martin Davidson
Mr. Mom,1983-07-22,0.0,64783827.0,0.0,Stan Dragoti
Time Masters,1982-03-24,0.0,0.0,0.0,René Laloux
Battlefield Earth,2000-05-10,44000000.0,21400000.0,0.4863636363636364,Roger Christian
Center Stage,2000-05-12,18000000.0,17200925.0,0.9556069444444444,Nicholas Hytner
Held Up,1999-10-08,0.0,0.0,0.0,Steve Rash
Screwed,2000-05-12,0.0,0.0,0.0,Larry Karaszewski
Screwed,2000-05-12,0.0,0.0,0.0,Scott Alexander
Whipped,2000-09-01,3000000.0,0.0,0.0,Peter M. Cohen
Hamlet,2000-05-12,2000000.0,1568749.0,0.7843745,Michael Almereyda
Anchors Aweigh,1945-07-14,0.0,0.0,0.0,George Sidney
Blue Hawaii,1961-11-22,0.0,0.0,0.0,Norman Taurog
The Castaway Cowboy,1974-08-01,0.0,0.0,0.0,Vincent McEveety
G.I. Blues,1960-11-23,0.0,0.0,0.0,Norman Taurog
The Gay Deceivers,1969-07-30,0.0,0.0,0.0,Bruce Kessler
Gypsy,1962-12-01,0.0,0.0,0.0,Mervyn LeRoy
King Creole,1958-07-02,0.0,0.0,0.0,Michael Curtiz
On the Town,1949-12-08,2111250.0,0.0,0.0,Stanley Donen
On the Town,1949-12-08,2111250.0,0.0,0.0,Gene Kelly
One Little Indian,1973-06-20,0.0,0.0,0.0,Bernard McEveety
Pee-wee's Big Adventure,1985-07-26,6000000.0,40940662.0,6.823443666666667,Tim Burton
Regret to Inform,1999-01-01,0.0,0.0,0.0,Barbara Sonneborn
Roustabout,1964-11-11,0.0,3000000.0,0.0,John Rich
Saludos Amigos,1942-08-24,0.0,0.0,0.0,Wilfred Jackson
Saludos Amigos,1942-08-24,0.0,0.0,0.0,Jack Kinney
Saludos Amigos,1942-08-24,0.0,0.0,0.0,Hamilton Luske
Saludos Amigos,1942-08-24,0.0,0.0,0.0,William Roberts
The Slipper and the Rose,1976-03-24,0.0,0.0,0.0,Bryan Forbes
Things Change,1988-10-21,0.0,0.0,0.0,David Mamet
Honeymoon in Vegas,1992-08-28,25000000.0,0.0,0.0,Andrew Bergman
Dinosaur,2000-05-19,127500000.0,354248063.0,2.7784161803921568,Eric Leighton
Dinosaur,2000-05-19,127500000.0,354248063.0,2.7784161803921568,Ralph Zondag
Loser,2000-07-21,0.0,0.0,0.0,Amy Heckerling
Road Trip,2000-05-19,16000000.0,119754278.0,7.484642375,Todd Phillips
Small Time Crooks,2000-05-19,0.0,0.0,0.0,Woody Allen
The Hollywood Knights,1980-05-30,2500000.0,10000000.0,4.0,Floyd Mutrux
The Myth Of Fingerprints,1997-09-17,2000000.0,458815.0,0.2294075,Bart Freundlich
Possession,1981-05-27,0.0,0.0,0.0,Andrzej Żuławski
The Twelve Chairs,1970-10-28,0.0,0.0,0.0,Mel Brooks
Mission: Impossible II,2000-05-24,125000000.0,546388105.0,4.37110484,John Woo
Shanghai Noon,2000-05-26,55000000.0,56932305.0,1.0351328181818182,Tom Dey
Better Living Through Circuitry,1999-01-01,0.0,0.0,0.0,Jon Reiss
8 ½ Women,1999-05-22,0.0,0.0,0.0,Peter Greenaway
Carnival of Souls,1962-09-26,30000.0,0.0,0.0,Herk Harvey
Flying Tigers,1942-10-08,0.0,0.0,0.0,David Miller
The Gold Rush,1925-06-25,923000.0,2500000.0,2.708559046587216,Charlie Chaplin
Lisa and the Devil,1973-05-08,1000000.0,0.0,0.0,Mario Bava
It's in the Water,1997-01-30,0.0,0.0,0.0,Kelli Herd
Monsieur Verdoux,1947-04-11,2000000.0,0.0,0.0,Charlie Chaplin
On Her Majesty's Secret Service,1969-12-12,6500000.0,81974493.0,12.611460461538462,Peter R. Hunt
Seven Days in May,1964-02-12,0.0,0.0,0.0,John Frankenheimer
The Spy Who Loved Me,1977-07-07,14000000.0,185438673.0,13.2456195,Lewis Gilbert
Those Who Love Me Can Take the Train,1998-05-15,0.0,0.0,0.0,Patrice Chéreau
Vagabond,1985-12-04,0.0,0.0,0.0,Agnès Varda
Moonraker,1979-06-26,34000000.0,210308099.0,6.185532323529412,Lewis Gilbert
The Man with the Golden Gun,1974-12-01,7000000.0,97572000.0,13.938857142857144,Guy Hamilton
A King in New York,1957-10-25,0.0,0.0,0.0,Charlie Chaplin
A Woman of Paris,1923-10-01,0.0,0.0,0.0,Charlie Chaplin
In Old California,1942-05-31,0.0,0.0,0.0,William C. McGann
The Fighting Seabees,1944-01-27,0.0,0.0,0.0,Edward Ludwig
Dark Command,1940-04-15,0.0,0.0,0.0,Raoul Walsh
Cléo from 5 to 7,1962-04-11,0.0,0.0,0.0,Agnès Varda
Big Momma's House,2000-05-31,30000000.0,173959438.0,5.798647933333333,Raja Gosnell
Running Free,1999-11-11,0.0,0.0,0.0,Sergei Bodrov
The Abominable Snowman,1957-08-26,0.0,0.0,0.0,Val Guest
American Gigolo,1980-02-08,4800000.0,22743674.0,4.738265416666667,Paul Schrader
Anguish,1987-11-10,0.0,0.0,0.0,Bigas Luna
The Blood Spattered Bride,1972-09-30,0.0,0.0,0.0,Vicente Aranda
City of the Living Dead,1980-08-11,0.0,0.0,0.0,Lucio Fulci
The Endless Summer,1966-06-15,0.0,0.0,0.0,Bruce Brown
The Guns of Navarone,1961-04-27,6000000.0,28900000.0,4.816666666666666,J. Lee Thompson
La Grande Bouffe,1973-05-16,0.0,0.0,0.0,Marco Ferreri
Lured,1947-08-28,0.0,0.0,0.0,Douglas Sirk
Pandora and the Flying Dutchman,1951-02-15,0.0,0.0,0.0,Albert Lewin
Quatermass and the Pit,1967-11-09,0.0,0.0,0.0,Roy Ward Baker
Quatermass II,1957-05-24,0.0,0.0,0.0,Val Guest
Puppet Master,1989-10-12,0.0,0.0,0.0,David Schmoeller
Puppet Master II,1990-11-28,780000.0,0.0,0.0,Dave Allen
Puppet Master III Toulon's Revenge,1991-10-17,800000.0,0.0,0.0,David DeCoteau
Puppet Master 4,1993-11-24,0.0,0.0,0.0,Jeff Burr
Puppet Master 5: The Final Chapter,1994-09-21,0.0,0.0,0.0,Jeff Burr
Curse of the Puppet Master,1998-05-26,0.0,0.0,0.0,David DeCoteau
Retro Puppet Master,1999-11-09,0.0,0.0,0.0,David DeCoteau
Rent-a-Cop,1987-11-28,0.0,0.0,0.0,Jerry London
Romeo and Juliet,1968-04-02,0.0,38901218.0,0.0,Franco Zeffirelli
Stay Tuned,1992-08-14,25000000.0,10736401.0,0.42945604,Peter Hyams
The Story of G.I. Joe,1945-07-13,0.0,0.0,0.0,William A. Wellman
Blazing Saddles,1974-02-07,2600000.0,119500000.0,45.96153846153846,Mel Brooks
Benji,1974-10-17,0.0,0.0,0.0,Joe Camp
Benji the Hunted,1987-06-17,0.0,0.0,0.0,Joe Camp
For the Love of Benji,1977-06-10,0.0,0.0,0.0,Joe Camp
White Christmas,1954-10-13,0.0,0.0,0.0,Michael Curtiz
Eraserhead,1977-03-19,10000.0,7000000.0,700.0,David Lynch
Baraka,1992-09-15,4000000.0,0.0,0.0,Ron Fricke
The Man with the Golden Arm,1955-12-14,0.0,0.0,0.0,Otto Preminger
The Decline of Western Civilization,1981-07-01,100000.0,0.0,0.0,Penelope Spheeris
The Decline of Western Civilization Part II: The Metal Years,1988-06-17,0.0,0.0,0.0,Penelope Spheeris
For a Few Dollars More,1965-12-18,600000.0,15000000.0,25.0,Sergio Leone
Magnum Force,1973-12-23,0.0,39768000.0,0.0,Ted Post
Blood Simple,1984-09-07,1500000.0,0.0,0.0,Joel Coen
The Fabulous Baker Boys,1989-10-13,13000000.0,0.0,0.0,Steve Kloves
Prizzi's Honor,1985-06-14,0.0,26657534.0,0.0,John Huston
Flatliners,1990-08-09,26000000.0,61489265.0,2.3649717307692306,Joel Schumacher
Gandahar,1987-12-11,0.0,0.0,0.0,René Laloux
Porky's,1981-11-13,4000000.0,125728258.0,31.4320645,Bob Clark
Porky's II: The Next Day,1983-06-24,6500000.0,33759266.0,5.193733230769231,Bob Clark
Porky's 3: Revenge,1985-03-22,9000000.0,20518905.0,2.279878333333333,James Komack
Private School,1983-07-29,0.0,0.0,0.0,Noel Black
Class of Nuke 'Em High,1986-12-12,2000000.0,0.0,0.0,Lloyd Kaufman
Class of Nuke 'Em High,1986-12-12,2000000.0,0.0,0.0,Richard W. Haines
The Toxic Avenger,1984-05-01,0.0,0.0,0.0,Michael Herz
The Toxic Avenger,1984-05-01,0.0,0.0,0.0,Lloyd Kaufman
The Toxic Avenger Part II,1989-02-24,0.0,0.0,0.0,Lloyd Kaufman
The Toxic Avenger Part II,1989-02-24,0.0,0.0,0.0,Michael Herz
The Toxic Avenger Part III: The Last Temptation of Toxie,1989-11-24,0.0,0.0,0.0,Lloyd Kaufman
The Toxic Avenger Part III: The Last Temptation of Toxie,1989-11-24,0.0,0.0,0.0,Michael Herz
Night of the Creeps,1986-08-21,0.0,0.0,0.0,Fred Dekker
Predator 2,1990-11-20,35000000.0,57120318.0,1.6320090857142855,Stephen Hopkins
The Running Man,1987-11-13,27000000.0,38122105.0,1.4119298148148147,Paul Michael Glaser
Starman,1984-12-13,22000000.0,28744356.0,1.3065616363636363,John Carpenter
The Brother from Another Planet,1984-09-07,0.0,0.0,0.0,John Sayles
Alien Nation,1988-10-07,16000000.0,32155047.0,2.0096904375,Graham Baker
Mad Max,1979-04-12,400000.0,100000000.0,250.0,George Miller
Mad Max 2: The Road Warrior,1981-12-24,2000000.0,24600832.0,12.300416,George Miller
Mad Max Beyond Thunderdome,1985-06-29,12305523.0,36230219.0,2.9442242316722336,George Miller
Mad Max Beyond Thunderdome,1985-06-29,12305523.0,36230219.0,2.9442242316722336,George Ogilvie
Bird on a Wire,1990-05-18,20000000.0,0.0,0.0,John Badham
Angel Heart,1987-03-06,17000000.0,17185632.0,1.0109195294117648,Alan Parker
Nine 1/2 Weeks,1986-02-14,17000000.0,6735922.0,0.3962307058823529,Adrian Lyne
Firestarter,1984-05-11,15000000.0,17080167.0,1.1386778,Mark L. Lester
Sleepwalkers,1992-04-10,0.0,30524763.0,0.0,Mick Garris
Action Jackson,1988-02-12,7000000.0,20256975.0,2.893853571428572,Craig R. Baxley
Sarafina!,1992-09-18,0.0,0.0,0.0,Darrell James Roodt
Soapdish,1991-05-31,0.0,36489888.0,0.0,Michael Hoffman
The Long Walk Home,1990-12-21,0.0,0.0,0.0,Richard Pearce
Clara's Heart,1988-10-07,0.0,0.0,0.0,Robert Mulligan
Burglar,1987-03-20,0.0,0.0,0.0,Hugh Wilson
Fatal Beauty,1987-10-30,0.0,0.0,0.0,Tom Holland
Gone in Sixty Seconds,2000-06-09,90000000.0,237202299.0,2.6355811,Dominic Sena
American Pimp,1999-01-01,0.0,0.0,0.0,Allen Hughes
American Pimp,1999-01-01,0.0,0.0,0.0,Albert Hughes
Love's Labour's Lost,2000-03-31,13000000.0,299792.0,0.023060923076923,Kenneth Branagh
Sunshine,1999-09-13,0.0,0.0,0.0,István Szabó
Trixie,2000-06-28,0.0,0.0,0.0,Alan Rudolph
American Virgin,2000-06-02,0.0,0.0,0.0,Jean-Pierre Marois
Hamlet,1990-12-19,0.0,20710451.0,0.0,Franco Zeffirelli
Coming Home,1978-02-15,3000000.0,0.0,0.0,Hal Ashby
American Pop,1981-02-13,0.0,6000000.0,0.0,Ralph Bakshi
Assault on Precinct 13,1976-11-05,150000.0,0.0,0.0,John Carpenter
Near Dark,1987-10-02,5000000.0,0.0,0.0,Kathryn Bigelow
One False Move,1992-05-08,0.0,1543112.0,0.0,Carl Franklin
Shaft,1971-07-02,4000000.0,12121618.0,3.0304045,Gordon Parks
The Conversation,1974-04-07,1600000.0,4420000.0,2.7625,Francis Ford Coppola
Cutter's Way,1981-03-19,3000000.0,0.0,0.0,Ivan Passer
The Fury,1978-03-10,5500000.0,24000000.0,4.363636363636363,Brian De Palma
The Paper Chase,1973-10-16,0.0,0.0,0.0,James Bridges
Prince of the City,1981-08-19,0.0,0.0,0.0,Sidney Lumet
Serpico,1973-12-05,3000000.0,29800000.0,9.933333333333334,Sidney Lumet
Ace in the Hole,1951-06-29,1821052.0,1300000.0,0.7138730799559815,Billy Wilder
Lonely Are the Brave,1962-05-24,0.0,0.0,0.0,David Miller
The Sugarland Express,1974-04-05,3000000.0,12800000.0,4.266666666666667,Steven Spielberg
Trouble in Paradise,1932-10-21,0.0,0.0,0.0,Ernst Lubitsch
Big Trouble in Little China,1986-05-30,25000000.0,11000000.0,0.44,John Carpenter
Badlands,1973-10-15,0.0,0.0,0.0,Terrence Malick
Battleship Potemkin,1925-12-24,0.0,45100.0,0.0,Sergei M. Eisenstein
Boys and Girls,2000-06-16,16000000.0,20627372.0,1.28921075,Robert Iscove
Shaft,2000-06-15,46000000.0,107196498.0,2.330358652173913,John Singleton
Titan A.E.,2000-06-16,75000000.0,36754634.0,0.4900617866666666,Don Bluth
Titan A.E.,2000-06-16,75000000.0,36754634.0,0.4900617866666666,Gary Goldman
Butterfly,1999-09-24,3000000.0,6000000.0,2.0,José Luis Cuerda
Jesus' Son,1999-09-05,0.0,0.0,0.0,Alison Maclean
The Match,1999-08-13,0.0,0.0,0.0,Mick Davis
Time Regained,1999-05-19,0.0,0.0,0.0,Raúl Ruiz
Chicken Run,2000-06-21,45000000.0,224834564.0,4.996323644444445,Nick Park
Chicken Run,2000-06-21,45000000.0,224834564.0,4.996323644444445,Peter Lord
"Me, Myself & Irene",2000-06-22,51000000.0,149270999.0,2.9268823333333334,Bobby Farrelly
"Me, Myself & Irene",2000-06-22,51000000.0,149270999.0,2.9268823333333334,Peter Farrelly
The Patriot,2000-06-28,110000000.0,215294342.0,1.957221290909091,Roland Emmerich
The Adventures of Rocky & Bullwinkle,2000-06-30,76000000.0,35134820.0,0.4623002631578947,Des McAnuff
The Perfect Storm,2000-03-15,120000000.0,325756637.0,2.714638641666667,Wolfgang Petersen
The Golden Bowl,2000-05-14,15000000.0,0.0,0.0,James Ivory
Asylum,1972-11-17,0.0,0.0,0.0,Roy Ward Baker
Communion,1989-11-10,0.0,1919653.0,0.0,Philippe Mora
Fun & Fancy Free,1947-09-27,0.0,0.0,0.0,William Morgan
Fun & Fancy Free,1947-09-27,0.0,0.0,0.0,Jack Kinney
Fun & Fancy Free,1947-09-27,0.0,0.0,0.0,Hamilton Luske
Fun & Fancy Free,1947-09-27,0.0,0.0,0.0,William Roberts
The Kentucky Fried Movie,1977-08-10,600000.0,0.0,0.0,John Landis
Bound by Honor,1993-02-05,35000000.0,0.0,0.0,Taylor Hackford
Daughter of Dr. Jekyll,1957-06-28,0.0,0.0,0.0,Edgar G. Ulmer
F/X,1986-02-07,0.0,20603715.0,0.0,Robert Mandel
F/X2,1991-04-16,16400000.0,0.0,0.0,Richard Franklin
The Hot Spot,1990-10-12,0.0,1293976.0,0.0,Dennis Hopper
Missing in Action,1984-11-16,1500000.0,22812411.0,15.208274,Joseph Zito
Missing in Action 2: The Beginning,1985-03-01,2410000.0,10755447.0,4.462841078838174,Lance Hool
Braddock: Missing in Action III,1988-01-22,0.0,6193901.0,0.0,Aaron Norris
Thunderbolt and Lightfoot,1974-05-23,0.0,21700000.0,0.0,Michael Cimino
Dreamscape,1984-08-15,0.0,12145169.0,0.0,Joseph Ruben
The Golden Voyage of Sinbad,1973-12-20,0.0,11000000.0,0.0,Gordon Hessler
Hatchet for the Honeymoon,1970-06-02,0.0,0.0,0.0,Mario Bava
House Party,1990-03-09,2500000.0,26386000.0,10.5544,Reginald Hudlin
House Party 2,1991-10-23,0.0,0.0,0.0,Doug McHenry
House Party 2,1991-10-23,0.0,0.0,0.0,George Jackson
Make Mine Music,1946-04-26,68.0,0.0,0.0,Hamilton Luske
Make Mine Music,1946-04-26,68.0,0.0,0.0,Clyde Geronimi
Make Mine Music,1946-04-26,68.0,0.0,0.0,Jack Kinney
