release_date,title
1948-06-28,Oliver Twist
1981-11-17,Skokie
2004-05-19,Shrek 2
2004-05-26,The Day After Tomorrow
2004-05-27,Raising Helen
2004-05-28,Soul Plane
2004-01-20,Baadasssss!
2003-01-01,The Mother
2004-01-21,Saved!
2003-08-28,Time of the Wolf
2004-05-31,Harry Potter and the Prisoner of Azkaban
2004-05-07,Mindhunters
2003-09-06,Zatoichi
2004-06-11,The Chronicles of Riddick
2004-06-10,Garfield
2004-06-10,The Stepford Wives
2003-01-18,Bright Future
2004-06-20,The Hunting of the President
2004-06-11,Napoleon Dynamite
1992-04-15,City of Joy
1991-07-24,The Doctor
1983-12-06,The Dresser
1993-08-27,Father Hood
1942-10-21,For Me and My Gal
1987-11-06,Hello Again
2003-05-09,Hope Springs
1938-07-22,Love Finds Andy Hardy
1961-11-20,Lover Come Back
1994-06-09,Police Academy: Mission to Moscow
1969-06-18,Ring of Bright Water
1978-05-26,Big Wednesday
1985-12-06,Fool for Love
1984-11-28,Give My Regards to Broad Street
2000-05-05,The Hi-Line
1973-06-14,The Last of Sheila
1992-04-22,The Playboys
1968-07-18,Star!
1952-07-11,We're Not Married!
1987-07-24,Wish You Were Here
1939-09-01,The Adventures of Sherlock Holmes
1990-08-03,Book of Love
1956-01-26,Helen of Troy
1939-03-31,The Hound of the Baskervilles
1968-01-01,Hour of the Wolf
1970-01-27,The Molly Maguires
1954-10-07,Suddenly
1998-07-13,Urban Ghost Story
1947-07-26,Possessed
1999-03-12,Dying of Laughter
1942-04-18,Kings Row
1927-01-17,The Kid Brother
1930-04-19,The Divorcee
1991-02-01,Meet the Applegates
1987-07-21,Robot Carnival
1979-08-10,Americathon
1987-05-22,The Chipmunk Adventure
1949-12-14,Sands of Iwo Jima
1955-06-01,This Island Earth
1983-11-23,The ComDads
1936-08-29,Anthony Adverse
1955-03-25,Blackboard Jungle
1978-12-22,Moment by Moment
2000-01-01,It Had to Be You
1999-09-08,Luna Papa
1997-09-19,The Long Way Home
1970-02-09,Investigation of a Citizen Above Suspicion
1989-09-15,True Love
1946-03-12,To Each His Own
1949-10-06,The Heiress
1945-08-29,State Fair
1944-07-20,Dragon Seed
1954-05-06,Executive Suite
1948-09-14,Johnny Belinda
2004-01-17,Super Size Me
1941-12-09,Johnny Eager
1944-10-17,None But the Lonely Heart
1962-02-16,La Jetée
1988-09-29,"Distant Voices, Still Lives"
1927-01-01,The King of Kings
1940-02-23,Northwest Passage
1945-03-01,The Picture of Dorian Gray
1967-08-18,The Born Losers
1959-01-15,The Human Condition I: No Greater Love
2001-01-01,Samsara
1939-06-30,Bachelor Mother
1960-03-31,Please Don't Eat the Daisies
1972-08-01,Siddhartha
1949-09-02,White Heat
1951-10-31,Scrooge
1990-09-07,Memphis Belle
1965-10-15,The Cincinnati Kid
2000-08-01,Animal Factory
1971-07-13,The Panic in Needle Park
1978-04-05,Pretty Baby
1974-03-20,Godzilla vs. Mechagodzilla
1986-02-21,The Hitcher
1951-07-13,Show Boat
1952-01-01,Ivanhoe
1996-08-29,Box of Moonlight
1997-05-12,The Eel
2003-01-13,Fear X
1932-02-20,Freaks
1917-06-17,The Immigrant
1976-06-17,Silent Movie
1946-08-22,A Matter of Life and Death
1930-02-21,Anna Christie
1974-01-15,It Lives By Night
1992-04-15,Deep Cover
1931-12-31,Dr. Jekyll and Mr. Hyde
1940-02-09,My Little Chickadee
1954-07-03,The High and the Mighty
1966-02-16,The Ugly Dachshund
2004-06-16,Around the World in 80 Days
2003-05-14,I'll Sleep When I'm Dead
2004-06-18,DodgeBall: A True Underdog Story
2004-06-17,The Terminal
2004-05-18,Dear Frankie
2004-06-23,White Chicks
2004-07-18,The Door in the Floor
2004-06-25,The Notebook
2004-04-07,Two Brothers
2004-07-02,De-Lovely
2002-06-06,The Intended
2003-01-02,Kaena: The Prophecy
1945-05-30,Back to Bataan
1989-11-03,Bloodhounds of Broadway
1937-06-11,A Day at the Races
1951-08-28,Flying Leathernecks
1972-07-12,"Now You See Him, Now You Don't"
2003-01-20,Plain Dirty
1969-09-17,Bob & Carol & Ted & Alice
1935-11-22,The Littlest Rebel
2003-05-17,Reconstruction
1987-12-21,Will Vinton's Claymation Christmas Celebration
2000-06-12,Happenstance
2003-02-06,Kops
2003-02-14,Comandante
2003-09-04,Undead
1983-02-02,The Scarlet and the Black
1991-03-15,Into the Woods
1999-05-10,Pirates of Silicon Valley
1992-11-06,Manufacturing Consent: Noam Chomsky and the Media
1945-04-25,The Clock
1945-12-19,Leave Her to Heaven
1994-09-09,Rapa Nui
1942-02-20,Roxie Hart
2003-06-17,Mayor of the Sunset Strip
2002-05-10,Killing Me Softly
1989-12-30,The Winter War
1984-08-03,The Philadelphia Experiment
1963-01-01,The Wheeler Dealers
1992-01-17,Juice
1999-05-29,The Secret Life of Girls
1967-08-22,The Flim-Flam Man
1978-07-19,Revenge of the Pink Panther
2002-05-08,Riders
2002-03-08,I Am Dina
2002-01-01,The Escapist
1938-11-26,Angels with Dirty Faces
1933-04-07,Zero for Conduct
1959-11-11,Shadows
1989-11-08,Coming Out
1998-04-04,Taxi
2003-01-29,Taxi 3
1959-11-11,Pull My Daisy
2003-12-29,Tokyo Godfathers
1970-02-27,The Butcher
1923-11-19,Our Hospitality
1984-09-07,All of Me
1947-01-01,The Farmer's Daughter
1943-10-07,Lassie Come Home
1948-09-03,The Time of Your Life
1987-12-16,Overboard
1932-11-05,The Mask of Fu Manchu
1953-03-26,By the Light of the Silvery Moon
1960-11-04,BUtterfield 8
1954-05-26,Johnny Guitar
1994-07-14,Sister My Sister
1962-05-01,The Exterminating Angel
2000-09-12,ivans xtc.
2004-06-25,Fahrenheit 9/11
1987-06-19,Roxanne
2001-01-01,Freedom Downtime
2003-01-17,The Same River Twice
1965-02-23,Dr. Terror's House of Horrors
2003-10-23,Confessions of a Burning Man
1995-01-01,Search and Destroy
1998-08-22,The Book of Life
1998-09-13,Such a Long Journey
1975-09-04,Hard Times
2000-10-29,Secret Society
1984-07-13,The Last Starfighter
1984-03-16,Tank
1977-02-08,Last Cannibal World
2004-06-25,Spider-Man 2
2004-07-04,America's Heart and Soul
2004-02-10,Before Sunset
2004-07-02,The Clearing
2004-07-07,King Arthur
2004-07-09,Anchorman: The Legend of Ron Burgundy
2004-07-09,Sleepover
2004-07-10,A Cinderella Story
2004-07-15,"I, Robot"
2004-01-18,Maria Full of Grace
1951-12-25,Distant Drums
1962-01-01,Follow That Dream
1998-11-13,The Girl of Your Dreams
1978-03-10,Gray Lady Down
1962-10-09,Long Day's Journey Into Night
1972-12-20,Man of La Mancha
1968-12-26,The Night of the Following Day
1975-06-04,Posse
1954-04-05,Prince Valiant
1985-05-10,Rustlers' Rhapsody
1989-01-26,A Short Film About Killing
1957-10-23,The Tin Star
1991-05-09,Zandalee
2001-03-06,Brief Crossing
1974-09-02,The Deluge
1962-11-01,How the West Was Won
1948-12-22,Joan of Arc
2003-03-07,Live Forever
1976-05-08,Mr. Klein
2004-07-23,The Bourne Supremacy
2004-07-22,Catwoman
2004-07-23,A Home at the End of the World
1998-04-19,Some Girl
1976-04-23,Stay Hungry
1933-04-21,The Testament of Dr. Mabuse
2001-01-01,Zus & Zo
1957-02-14,Battle Hymn
1943-04-22,Crash Dive
2001-10-05,Disco Pigs
1957-12-25,The Enemy Below
1995-04-22,Fist of the North Star
1940-04-09,Flash Gordon Conquers the Universe
1969-07-14,Guns of the Magnificent Seven
1958-09-01,The Hunters
1987-03-03,In a Glass Cage
1974-09-26,Lancelot of the Lake
1971-01-28,The Last Valley
1972-08-01,The Magnificent Seven Ride!
1956-11-11,A Man Escaped
1954-02-24,The Miracle of Marcelino
1965-08-24,Morituri
1965-01-01,Orgy of the Dead
1968-11-06,Shalako
1990-03-23,A Shock to the System
1972-03-15,Slaughterhouse-Five
2003-05-15,His Brother
1942-08-11,Wake Island
1952-08-22,What Price Glory
1942-11-19,You Were Never Lovelier
1947-07-24,The Bachelor and the Bobby-Soxer
1973-11-18,Breezy
2002-03-01,The City of No Limits
1990-01-01,The Comfort of Strangers
2001-02-03,Dancing in September
1943-12-31,Destination Tokyo
1995-08-25,Dr. Jekyll and Ms. Hyde
1993-10-24,Dream Lover
2001-01-01,Fausto 5.0
1988-05-17,For Queen & Country
1990-09-21,Funny About Love
1977-05-17,The Greatest
1993-05-10,Grief
2002-01-25,Hometown Legend
1989-05-19,How I Got Into College
1993-04-22,Map of the Human Heart
1948-06-04,Mr. Blandings Builds His Dream House
1940-05-17,My Favorite Wife
1988-07-06,The New Adventures of Pippi Longstocking
1946-07-02,Night and Day
1959-02-01,No Name on the Bullet
1936-11-16,The Plainsman
1993-01-01,Slaughter of the Innocents
1948-11-04,The Snake Pit
1942-05-08,The Spoilers
1991-10-04,The Super
1986-11-07,Tai-Pan
1983-01-01,Two of a Kind
2002-03-22,Warriors
1963-03-28,The Leopard
1969-01-01,"Goodbye, Columbus"
1967-12-21,The President's Analyst
1975-05-07,The Day of the Locust
1973-02-12,The Creeping Flesh
1984-02-23,Swann in Love
2001-09-02,To End All Wars
1952-12-23,Moulin Rouge
1987-09-23,The Belly of an Architect
2002-01-01,The Nest
1949-10-12,Love Happy
1958-05-30,High School Confidential!
1980-05-01,Out of the Blue
1996-08-01,Crimetime
1961-09-06,A Woman Is a Woman
1962-08-31,Mamma Roma
1957-10-01,The Lower Depths
1992-10-29,Ruby Cairo
1984-11-16,Night Patrol
1986-05-30,Biggles
1950-07-19,Fancy Pants
1960-11-10,The World of Suzie Wong
2003-07-28,King of the Ants
1997-07-04,Uncle Sam
1963-12-19,"Yesterday, Today and Tomorrow"
1991-09-04,La Belle Noiseuse
1982-11-10,La balance
1950-01-20,Gun Crazy
1949-04-02,The Set-Up
2002-09-17,Unprecedented: The 2000 Presidential Election
1969-02-24,The Prime of Miss Jean Brodie
1999-09-11,My Voyage to Italy
1979-02-09,The North Avenue Irregulars
1970-08-12,Lovers and Other Strangers
1971-09-17,Kotch
1961-07-17,Greyfriars Bobby: The True Story of a Dog
1990-03-30,Side Out
1963-12-11,The Three Lives of Thomasina
1976-02-05,"No Deposit, No Return"
1968-04-19,"The One and Only, Genuine, Original Family Band"
1997-10-15,Under the Lighthouse Dancing
1942-05-13,This Gun for Hire
1946-08-02,Black Angel
1948-04-09,The Big Clock
1949-01-12,Criss Cross
1979-04-06,The Fifth Musketeer
1981-08-22,Evilspeak
1946-02-01,Terror by Night
1965-12-16,The Spy Who Came in from the Cold
1942-12-25,Sherlock Holmes and the Secret Weapon
1945-07-27,The Woman in Green
1962-04-17,The Counterfeit Traitor
1993-08-18,"One, Two, Three, Sun"
1989-09-16,Roadkill
1946-06-07,Dressed to Kill
2003-04-16,Bon voyage
1969-03-09,The Assassination Bureau
2004-07-30,The Manchurian Candidate
2004-07-23,Thunderbirds
2004-07-30,The Village
2004-07-28,Garden State
1951-10-03,Early Summer
1938-05-18,Port of Shadows
1966-12-15,Thunderbirds are GO
1968-08-03,Thunderbird 6
1969-10-01,Castle Keep
2002-08-06,Revengers Tragedy
1996-09-20,Beyond Hypothermia
2003-05-16,Octane
2003-04-17,PTU
1977-09-05,Unfinished Piece for Mechanical Piano
2001-09-23,The Warrior
1966-10-16,A Funny Thing Happened on the Way to the Forum
1969-01-01,Salesman
2004-08-04,Collateral
2004-08-06,Little Black Book
2003-09-02,Code 46
1992-10-23,In the Soup
1959-06-01,They Came to Cordura
2001-09-10,Blue Spring
1988-09-14,Story of Women
1999-10-02,Attack the Gas Station!
1987-02-11,Masques
2004-05-30,Harold & Kumar Go to White Castle
2004-08-06,The Princess Diaries 2: Royal Engagement
2003-05-16,Danny Deckchair
2004-08-12,AVP: Alien vs. Predator
2004-08-13,Yu-Gi-Oh! The Movie
2002-08-03,Novo
2004-01-20,We Don't Live Here Anymore
2004-08-20,Without a Paddle
2004-08-20,Exorcist: The Beginning
1968-01-01,Speedway
1969-09-03,The Trouble with Girls
1963-04-03,It Happened at the World's Fair
1967-04-05,Double Trouble
1966-12-14,Spinout
1965-11-24,Harum Scarum
1979-07-10,The Spaceman and King Arthur
1983-02-18,The Sting II
1962-10-10,If a Man Answers
1988-06-01,Cheerleader Camp
1999-11-20,Human Resources
1983-05-20,Bill Cosby: Himself
1964-02-19,Dead Ringer
2004-03-26,Benji: Off the Leash!
2004-08-26,Anacondas: The Hunt for the Blood Orchid
2004-08-27,Suspect Zero
2003-09-23,Warriors of Heaven and Earth
2004-09-01,Vanity Fair
2004-09-03,The Cookout
2004-09-03,Paparazzi
2004-09-03,Wicker Park
2002-01-01,Triggermen
1974-12-09,Alice Doesn't Live Here Anymore
1995-03-03,The Mangler
1967-11-15,Who's That Knocking at My Door
2004-01-01,Seeing Other People
1991-01-01,Past Midnight
1994-05-15,A Million to Juan
1979-11-16,Camera Buff
1985-06-17,No End
2004-02-13,Highwaymen
1990-11-02,Graffiti Bridge
1953-08-26,I Vitelloni
1986-07-02,Under the Cherry Moon
1963-08-14,Flipper
1975-01-01,Smile
1965-02-15,Lord Jim
1980-03-12,A Small Circle of Friends
1988-10-14,Night of the Demons
1986-12-31,Witchboard
1979-12-31,Roller Boogie
1964-09-27,Lilith
1980-11-21,The Apple
2004-08-27,Superbabies: Baby Geniuses 2
2004-09-06,Cellular
2004-09-10,Resident Evil: Apocalypse
2004-10-07,Criminal
2004-01-01,Evergreen
2004-06-15,Mr. 3000
2004-09-17,Sky Captain and the World of Tomorrow
2004-09-13,Wimbledon
2004-01-28,Anatomy of Hell
2004-04-29,Head in the Clouds
2004-09-24,First Daughter
2004-09-24,The Forgotten
2004-09-24,The Last Shot
2004-09-12,A Dirty Shame
2004-02-06,The Motorcycle Diaries
2004-04-09,Shaun of the Dead
1952-12-24,"Come Back, Little Sheba"
1958-02-11,The Black Orchid
1940-12-09,Second Chorus
1991-01-01,Class of Nuke 'Em High 2: Subhumanoid Meltdown
1974-11-24,Murder on the Orient Express
1985-03-08,Mask
1938-05-24,Alexander's Ragtime Band
1968-10-08,The Boston Strangler
1980-06-24,The Last Flight of Noah's Ark
1985-07-18,The Man with One Red Shoe
1977-01-07,The Sentinel
1973-07-06,Sssssss
1992-08-06,Whispers in the Dark
2001-06-17,Stealing Time
1978-09-01,The Legacy
1959-07-01,The Alligator People
1993-03-26,Hear No Evil
1992-02-01,Basket Case 3
1990-03-02,Basket Case 2
1977-07-22,Orca: The Killer Whale
2002-01-19,AKA
1958-10-01,I Married a Monster from Outer Space
1971-09-26,The Trojan Women
1954-08-05,Robinson Crusoe
1979-02-09,Hardcore
1970-01-01,Watermelon Man
1984-04-19,Flashpoint
1975-06-06,Bug
1963-06-17,The Terror
1995-10-10,Jack O
1992-10-09,1492: Conquest of Paradise
1980-02-07,Cannibal Holocaust
2004-09-20,Shark Tale
2004-10-01,Ladder 49
2004-01-01,Black Cloud
2004-09-10,I Heart Huckabees
2004-08-10,Raise Your Voice
2004-10-06,Taxi
2004-10-08,Around the Bend
2004-10-08,Primer
2004-09-03,Stage Beauty
2004-10-15,Shall We Dance?
2004-10-10,Team America: World Police
2004-10-15,Eulogy
2004-10-15,P.S.
1954-05-17,The Country Girl
1955-12-12,The Rose Tattoo
1987-09-11,Epidemic
1979-10-06,Tess
1978-04-20,I Wanna Hold Your Hand
2003-10-23,Spinning Boris
1978-07-25,Circle of Iron
1976-07-06,Cannonball
1967-02-01,The Fearless Vampire Killers
1971-01-01,Black Beauty
2003-11-07,The Five Obstructions
2003-01-19,Born Rich
1974-10-15,It's Alive
1986-06-19,The Decline of the American Empire
1992-07-31,Bébé's Kids
1991-11-08,All I Want For Christmas
1989-09-06,Life and Nothing But
2004-10-08,Friday Night Lights
2003-10-19,Tarnation
2004-10-15,The Final Cut
2004-10-17,Hair Show
2004-10-15,Riding the Bullet
2003-10-23,Spin
2004-09-03,Being Julia
2004-01-01,The Dust Factory
2004-10-03,Thérèse: The Story of Saint Thérèse of Lisieux
2004-09-21,Surviving Christmas
2004-10-22,The Grudge
2004-10-22,Alfie
2004-10-22,Sideways
2004-02-09,The Machinist
2004-10-22,Vera Drake
2003-09-08,Falling Angels
2004-01-26,Stella Street
2004-02-12,Lightning in a Bottle
2004-05-14,Undertow
2004-11-26,Enduring Love
2004-10-01,Saw
2004-10-29,Ray
2004-09-08,Birth
2004-01-01,Voices of Iraq
2004-11-05,The Incredibles
2004-11-05,Fade to Black
2003-01-10,It's All About Love
2002-09-18,Callas Forever
2004-11-10,The Polar Express
2004-09-04,Kinsey
2004-11-11,Seed of Chucky
2004-11-12,After the Sunset
2004-11-10,Bridget Jones: The Edge of Reason
2004-10-17,Finding Neverland
2004-11-12,Veer-Zaara
2004-11-19,National Treasure
2004-03-19,Bad Education
2004-11-14,The SpongeBob SquarePants Movie
2002-01-01,Fabled
1945-11-29,San Antonio
2004-11-21,Alexander
2004-11-24,Christmas with the Kranks
2004-11-26,Guerrilla: The Taking of Patty Hearst
2004-05-19,Our Music
2004-12-01,Closer
2003-12-03,I Am David
2004-05-19,House of Flying Daggers
2004-12-09,Ocean's Twelve
2004-12-08,Blade: Trinity
1960-07-20,The Bellboy
2004-03-13,Bush's Brain
1960-12-18,Cinderfella
1958-07-23,Damn Yankees!
1957-06-06,The Delicate Delinquent
1964-12-16,The Disorderly Orderly
1961-11-28,The Errand Boy
1965-07-01,The Family Jewels
1961-06-21,The Ladies Man
1964-08-12,The Patsy
2004-05-23,Stateside
1952-12-31,The Stooge
1974-06-21,That's Entertainment!
1976-05-17,"That's Entertainment, Part II"
1994-07-01,That's Entertainment! III
1960-12-29,The Wackiest Ship in the Army
1956-03-28,Alexander the Great
1955-04-20,Conquest of Space
1985-06-14,D.A.R.Y.L.
1993-03-12,Fire in the Sky
1936-10-14,The Garden of Allah
1944-12-31,I'll Be Seeing You
1940-01-12,The Invisible Man Returns
2001-01-01,The Last Minute
2003-09-17,Love Me If You Dare
1948-12-25,Portrait of Jennie
1952-12-25,Ruby Gentry
1984-09-15,Secret Honor
1944-07-20,Since You Went Away
1999-01-22,A Slipping Down Life
1984-07-13,Splatter University
2003-09-07,Twist
2004-01-15,Control Room
2004-10-22,Celsius 41.11: The Temperature at Which the Brain... Begins to Die
1915-12-13,The Cheat
1920-03-18,Dr. Jekyll and Mr. Hyde
1920-10-28,The Golem: How He Came Into the World
1920-11-21,The Last of the Mohicans
1921-09-25,The Idle Class
1921-01-01,The Phantom Carriage
1921-10-06,Destiny
1921-11-20,The Sheik
1922-09-18,Häxan
1922-04-01,The Man from Beyond
1923-09-06,The Hunchback of Notre Dame
1923-09-09,Why Worry?
1924-12-22,He Who Gets Slapped
1924-02-10,The Marriage Circle
1924-04-21,"Sherlock, Jr."
1925-11-05,The Big Parade
1925-09-20,The Freshman
1924-12-04,Greed
1925-09-06,The Phantom of the Opera
1927-10-06,The Jazz Singer
1928-01-20,October (Ten Days that Shook the World)
1927-09-04,Old San Francisco
1927-06-04,The Unknown
1929-01-30,Pandora's Box
1928-09-16,The Cameraman
1928-10-04,The Fall of the House of Usher
1928-02-18,The Crowd
1928-04-27,The Man Who Laughs
1928-01-07,Sadie Thompson
1928-02-14,"Steamboat Bill, Jr."
1930-01-04,Applause
1929-06-05,Un chien andalou
1931-01-09,Little Caesar
1930-10-28,L'Âge d'Or
1931-11-21,The Champ
1931-09-19,Monkey Business
1931-07-15,Night Nurse
1932-11-11,Boudu Saved from Drowning
1932-08-27,Doctor X
1933-12-01,Land Without Bread
1932-10-20,The Old Dark House
1932-03-24,Rasputin and the Empress
1932-04-09,Scarface
1932-02-02,Shanghai Express
1932-06-03,"I Was Born, But..."
1932-05-06,Vampyr
1932-06-24,What Price Hollywood?
1933-08-29,Dinner at Eight
1933-08-01,The Ghoul
1933-05-27,Gold Diggers of 1933
1932-12-01,Island of Lost Souls
1933-09-13,Lady for a Day
1933-02-09,She Done Him Wrong
1933-12-22,The Son of Kong
1933-01-21,The Vampire Bat
1933-09-22,Wild Boys of the Road
1934-04-24,L'Atalante
1934-09-21,The Barretts of Wimpole Street
1934-05-07,The Black Cat
1934-11-26,Imitation of Life
1934-11-22,The Lawless Frontier
1934-02-16,The Lost Patrol
1934-11-02,The Merry Widow
1934-12-23,The Scarlet Pimpernel
1935-02-22,Toni
1935-08-23,Bonnie Scotland
1935-05-09,The Informer
1935-04-26,Mark of the Vampire
1935-07-08,The Raven
1935-05-13,Werewolf of London
1936-01-24,The Crime of Monsieur Lange
1936-05-29,Fury
1936-10-09,Libeled Lady
1936-04-12,Mr. Deeds Goes to Town
1936-02-08,The Petrified Forest
1936-06-04,Revolt of the Zombies
1936-05-17,Show Boat
1936-03-18,These Three
1936-02-28,Wife vs. Secretary
1936-12-12,Camille
1937-06-25,Captains Courageous
1937-08-27,Dead End
1937-10-15,Double Wedding
1937-11-25,Nothing Sacred
1937-09-03,The Prisoner of Zenda
1937-10-08,Stage Door
1937-07-16,Topper
1938-02-11,The Big Broadcast of 1938
1938-12-24,The Dawn Patrol
1938-06-15,Holiday
1938-07-15,The Shopworn Angel
1940-06-25,Gaslight
1939-10-05,Intermezzo: A Love Story
1939-10-23,The Roaring Twenties
1939-04-13,Wuthering Heights
1939-10-13,The Story of the Last Chrysanthemum
1940-02-12,Abe Lincoln in Illinois
1940-08-30,Boom Town
1940-06-08,Brother Orchid
1940-05-10,"Edison, the Man"
1940-11-22,The Letter
1940-07-01,The Sea Hawk
1941-12-02,Ball of Fire
1941-12-08,The 47 Ronin
1941-08-07,Here Comes Mr. Jordan
1941-05-30,In the Navy
1941-09-26,It Started with Eve
1941-10-10,Never Give a Sucker an Even Break
1941-04-20,That Uncertain Feeling
1942-09-05,Across the Pacific
1941-12-02,All Through the Night
1942-11-14,Gentleman Jim
1943-02-20,The Hard Way
1942-04-02,My Favorite Blonde
1942-05-27,Why We Fight: Prelude to War
1942-12-17,Random Harvest
1942-08-05,Tales of Manhattan
1943-06-12,Action in the North Atlantic
1944-03-01,A Guy Named Joe
1943-08-11,Heaven Can Wait
1944-03-23,The Heavenly Body
1944-04-13,The Memphis Belle: A Story of a Flying Fortress
1943-05-28,Mr. Lucky
1943-01-01,Thousands Cheer
1943-09-13,Day of Wrath
1944-03-30,Cover Girl
1944-03-03,The Curse of the Cat People
1944-11-24,Henry V
1944-10-02,Torment
1944-07-01,The Mask of Dimitrios
1944-10-15,Ministry of Fear
1944-01-19,The Miracle of Morgan’s Creek
1944-05-25,Mr. Skeffington
1944-10-12,Mrs. Parkington
1944-02-16,Passage to Marseille
1944-05-11,The White Cliffs of Dover
1944-11-03,The Woman in the Window
1945-04-28,The Enchanted Cottage
1945-09-01,Isle of the Dead
1945-04-23,"Ivan the Terrible, Part I"
1945-04-30,The Southerner
1945-12-20,They Were Expendable
1945-02-28,A Tree Grows in Brooklyn
1946-12-25,The Beast with Five Fingers
1946-04-19,The Blue Dahlia
1946-10-17,The Dark Mirror
1946-10-18,Deception
1946-12-26,Great Expectations
1946-09-25,Humoresque
1946-04-27,Shoeshine
1946-05-25,The Stranger
1947-11-19,Mourning Becomes Electra
1947-10-09,Nightmare Alley
1947-01-30,Odd Man Out
1947-12-25,Road to Rio
1947-03-04,The Two Mrs. Carrolls
1948-12-01,3 Godfathers
1948-04-02,B.F.'s Daughter
1948-09-16,The Babe Ruth Story
1948-07-08,Easter Parade
1948-03-26,Fort Apache
1947-12-24,The Lady from Shanghai
1948-04-28,Letter from an Unknown Woman
1948-09-28,Louisiana Story
1948-03-04,The Naked City
1948-06-11,The Pirate
1948-08-06,They Live by Night
1948-10-10,The Three Musketeers
1948-12-10,Unfaithfully Yours
1948-12-24,Yellow Sky
1949-01-01,The Barkleys of Broadway
1949-07-29,In the Good Old Summertime
1949-01-20,A Letter to Three Wives
1950-09-29,Orpheus
1949-04-30,The Secret Garden
1949-11-12,The Story of Seabiscuit
1950-05-17,Annie Get Your Gun
1950-03-29,Les Enfants Terribles
1950-06-23,The Gunfighter
1950-11-09,King Solomon's Mines
1950-11-09,Los Olvidados
1950-04-30,Scandal
1950-08-31,Summer Stock
1952-08-28,Europe '51
1952-05-01,Carbine Williams
1952-07-17,Carrie
1952-06-16,Clash by Night
1952-11-14,The Prisoner of Zenda
1952-01-01,The Life of Oharu
1952-07-14,Son of Paleface
1953-08-01,Abbott and Costello Meet Dr. Jekyll and Mr. Hyde
1953-10-30,Gun Fury
1953-10-30,Gate of Hell
1953-04-01,Man on a Tightrope
1953-03-04,The Titfield Thunderbolt
1954-09-28,The Belles of St. Trinian's
1954-11-23,The Crucified Lovers
1954-12-27,French Cancan
1954-01-18,It Should Happen to You
1954-02-18,"The Long, Long Trailer"
1954-08-07,Magnificent Obsession
1954-03-14,Salt of the Earth
1954-09-26,Samurai I: Musashi Miyamoto
1954-09-29,A Star Is Born
1954-05-01,Three Coins in the Fountain
1953-12-30,The Wild One
1955-06-07,The Cobweb
1955-02-09,It's Always Fair Weather
1955-03-01,Mr. Arkadin
1955-01-01,Night and Fog
1955-07-12,Samurai II: Duel at Ichijoji Temple
1955-09-30,The Seven Little Foys
1955-12-23,The Unknown Soldier
1956-04-27,Anything Goes
1956-01-21,The Burmese Harp
1956-02-16,Carousel
1956-01-03,Samurai III: Duel at Ganryu Island
1956-12-26,Rodan
1957-12-17,Barnacle Bill
1958-01-21,Chase a Crooked Shadow
1958-07-03,Fiend Without a Face
1957-11-08,Jailhouse Rock
1957-10-01,Man of a Thousand Faces
1957-04-19,The Spirit of St. Louis
1957-03-01,The Undead
1957-11-13,Zero Hour!
1958-02-18,Carve Her Name with Pride
1958-12-01,Corridors of Blood
1958-06-22,Giants and Toys
1958-10-24,The Last Hurrah
1958-05-01,Machine-Gun Kelly
1958-04-01,Teacher's Pet
1958-10-24,Torpedo Run
1958-06-28,The Vikings
1959-01-01,Al Capone
1959-11-11,Picnic on the Grass
1959-05-15,Invisible Invaders
1959-11-20,The Human Condition II: Road to Eternity
1959-11-03,Fires on the Plain
1959-10-13,North West Frontier
1959-06-18,The Nun's Story
1959-12-16,Pickpocket
1959-11-17,Floating Weeds
1959-05-30,The Young Philadelphians
1960-05-01,The Leech Woman
1960-01-15,When a Woman Ascends the Stairs
1960-12-08,The Sundowners
1960-09-28,Sunrise at Campobello
1960-09-15,The Bad Sleep Well
1961-11-01,Bachelor in Paradise
1961-06-06,The Deadly Companions
1962-02-07,The Four Horsemen of the Apocalypse
1962-05-14,The Intruder
1961-01-01,Murder She Said
1961-01-28,The Human Condition III: A Soldier's Prayer
1961-09-27,Paris Blues
1961-06-05,Taste of Fear
1962-06-06,Advise & Consent
1962-12-26,David and Lisa
1962-06-08,Eegah
1962-09-15,Harakiri
1962-09-20,The Loneliness of the Long Distance Runner
1962-06-19,The Music Man
1962-11-08,Mutiny on the Bounty
1962-05-01,An Occurrence at Owl Creek Bridge
1962-01-01,The Four Days of Naples
1962-12-04,Il Sorpasso
1962-08-07,The Wonderful World of the Brothers Grimm
1962-04-12,L'eclisse
1963-05-31,Les Carabiniers
1963-12-12,The Cardinal
1964-02-10,The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?
1963-09-11,The Kiss of the Vampire
1963-12-25,Love with the Proper Stranger
1963-11-13,McLintock!
1963-01-01,Murder at the Gallop
1963-10-10,A New Kind of Love
1963-12-25,The Prize
1963-11-13,Sunday in New York
1963-11-27,Crooks in Clover
1964-11-26,36 Hours
1964-03-11,Becket
1964-08-14,Behold a Pale Horse
1964-04-05,The Best Man
1964-12-15,"Hush... Hush, Sweet Charlotte"
1964-07-07,The Killers
1964-10-29,The Naked Kiss
1964-11-21,Onibaba
1964-06-24,Robin and the 7 Hoods
1964-06-01,Robinson Crusoe on Mars
1967-12-24,Spider Baby
1964-01-01,The Visit
1964-05-12,What a Way to Go!
1965-12-26,Docking the Boat
1966-09-08,The Battle of Algiers
